(Private) 刘涛: 你好1
(Private) 许可玲: 大家好
(Private) 刘涛: 你好
徐智计 to 许可玲: 你好许可玲
徐智计 to 许可玲: niaho
徐智计 to 许可玲: niaho
徐智计 to 许可玲: 你好
徐智计 to 刘涛: 你好
徐智计 to 许可玲: 你好
徐智计 to 许可玲: 你好
徐智计 to 许可玲: 年后
许可玲 to 徐智计: 你好
许可玲 to 徐智计: 你好
徐智计 to 许可玲: 你好
徐智计 to 许可玲: 你好
徐智计 to 许可玲: 你好111
徐智计 to 许可玲: 你好呀
许可玲 to 徐智计: 年好友
徐智计 to 许可玲: 你好呀
徐智计 to 许可玲: 现在是五点钟
徐智计 to 许可玲: 现在十五点
徐智计 to 许可玲: 现在是多少点
徐智计 to 许可玲: 我是傻逼
徐智计 to 许可玲: 我才是傻逼
徐智计 to 许可玲: 我是一个大傻逼
徐智计 to 许可玲: 我是一个大傻逼
徐智计 to 许可玲: 我知道你是大傻逼
徐智计 to 许可玲: 你好吗
徐智计 to 许可玲: 你试试你
徐智计 to 许可玲: 你好
徐智计 to 许可玲: 现在
刘涛 to 许可玲: 你好
许可玲 to 刘涛: 年后
许可玲 to 刘涛: 你好
刘涛 to 许可玲: 1234
刘涛 to 许可玲: 你好
许可玲 to 刘涛: 111111
许可玲 to 刘涛: hellop
刘涛 to 许可玲: 哈哈哈哈
刘涛 to 许可玲: 大家后
刘涛 to 许可玲: 年好呀
张三 to 许可玲: 这是私发消息
徐智计 to 许可玲: 你好呀
刘涛 to 徐智计: 你好
